vec_size,list_size,ram_top_before_gc,ram_gc_reported,ram_top_after_gc,time_spent
100,100,67.272,32.7,67.464,0.40400767326355
100,316,68.136,32.9,68.072,0.394288063049316
100,1000,91.5,33.3,87.596,0.394232749938965
100,3162,90.348,33.3,89.164,0.409717321395874
100,10000,93.5,33.3,91.324,0.442722082138062
100,31622,103.652,33.3,89.46,0.674054384231567
100,100000,139.6,33.3,92.2,1.16129755973816
1000,100,92.58,33.4,92.58,0.386975765228271
1000,316,94.848,34.9,93.796,0.39970326423645
1000,1000,96.508,34.9,92.816,0.404452800750732
1000,3162,106.836,34.9,96.268,0.444072961807251
1000,10000,134.152,34.9,95.004,0.700505495071411
1000,31622,223.092,34.9,98.328,1.2015814781189
1000,100000,494.444,34.9,105.064,2.59146213531494
10000,100,109.076,35,102.612,0.410211086273193
10000,316,111.252,34.9,106.372,0.431138515472412
10000,1000,133.732,34.9,106.284,0.521970510482788
10000,3162,221.716,34.9,109.268,0.817639350891113
10000,10000,496.2,34.9,111.248,1.93180727958679
10000,31622,1310,34.9,113.548,4.95300483703613
10000,100000,3947,34.9,130.556,14.0866215229034
